game_id,date,home_team,away_team,home_pitcher,away_pitcher,home_pitcher_era,home_pitcher_k9,away_pitcher_era,away_pitcher_k9,yrfi
662104,2022-04-12,San Francisco Giants,San Diego Padres,Alex Cobb,Yu Darvish,2.25,13.5,1.741935483870968,6.096774193548388,1
662318,2022-04-12,Pittsburgh Pirates,Chicago Cubs,Jose Quintana,Drew Smyly,4.5,2.25,4.695652173913043,8.217391304347826,0
662862,2022-04-12,Detroit Tigers,Boston Red Sox,Tyler Alexander,Rich Hill,0.0,11.25,22.09090909090909,2.454545454545454,0
663088,2022-04-12,Cincinnati Reds,Cleveland Guardians,Tyler Mahle,Shane Bieber,2.0,11.0,3.375,11.25,0
663411,2022-04-12,Arizona Diamondbacks,Houston Astros,Madison Bumgarner,Luis Garcia,1.125,9.0,0.0,14.727272727272728,0
661313,2022-04-13,New York Yankees,Toronto Blue Jays,Gerrit Cole,José Berríos,5.5588235294117645,8.735294117647058,10.125,5.0625,1
661530,2022-04-13,Chicago White Sox,Seattle Mariners,Dallas Keuchel,Robbie Ray,13.5,7.7142857142857135,2.327586206896552,7.448275862068965,1
661570,2022-04-13,Atlanta Braves,Washington Nationals,Max Fried,Josiah Gray,9.310344827586206,7.448275862068964,9.346153846153845,11.423076923076923,1
661643,2022-04-13,Philadelphia Phillies,New York Mets,Aaron Nola,Max Scherzer,3.9705882352941178,12.705882352941178,4.5,9.0,0
661734,2022-04-13,Minnesota Twins,Los Angeles Dodgers,Chris Paddack,Clayton Kershaw,9.0,15.0,2.25,13.5,1
661943,2022-04-13,Tampa Bay Rays,Oakland Athletics,Shane McClanahan,Frankie Montas,2.1600000000000006,14.040000000000003,9.0,10.799999999999999,0
662009,2022-04-13,St. Louis Cardinals,Kansas City Royals,Adam Wainwright,Zack Greinke,0.0,9.0,1.5882352941176472,1.5882352941176472,1
662115,2022-04-13,San Francisco Giants,San Diego Padres,Logan Webb,Sean Manaea,1.5,4.5,0.84375,9.28125,1
662317,2022-04-13,Pittsburgh Pirates,Chicago Cubs,Zach Thompson,Kyle Hendricks,2.25,6.75,5.586206896551725,7.448275862068966,1
662885,2022-04-13,Detroit Tigers,Boston Red Sox,Eduardo Rodriguez,Nathan Eovaldi,5.0,10.0,5.170212765957447,12.063829787234043,1
663117,2022-04-13,Cincinnati Reds,Cleveland Guardians,Nick Lodolo,Triston McKenzie,4.5,6.75,4.5,10.5,0
663341,2022-04-13,Arizona Diamondbacks,Houston Astros,Merrill Kelly,Framber Valdez,0.0,13.5,0.0,8.1,0
663433,2022-04-13,Baltimore Orioles,Milwaukee Brewers,John Means,Corbin Burnes,1.0384615384615383,6.23076923076923,3.272727272727273,8.181818181818182,0
661292,2022-04-14,Milwaukee Brewers,St. Louis Cardinals,Brandon Woodruff,Adam Wainwright,11.423076923076923,7.269230769230769,0.0,9.0,1
661312,2022-04-14,New York Yankees,Toronto Blue Jays,Luis Severino,Kevin Gausman,2.571428571428571,10.285714285714285,4.090909090909091,6.545454545454546,0
661418,2022-04-14,Miami Marlins,Philadelphia Phillies,Sandy Alcantara,Kyle Gibson,3.6,7.2,1.4210526315789473,9.947368421052632,1
661942,2022-04-14,Tampa Bay Rays,Oakland Athletics,Josh Fleming,Cole Irvin,2.571428571428571,7.7142857142857135,7.448275862068966,8.379310344827587,0
